symbol,mfe_r,mae_r,missing,net_pnl,group
MPC,0.24157303370786884,1.1348314606741543,False,-310.6832400000002,loser
PSX,0.17435897435897713,1.0102051282051319,False,-362.015279999998,loser
AMAT,1.48837209302325,0.5581395348837174,False,47.0648199999986,winner
CVS,0.4367346938775477,0.946938775510206,False,-370.0145500000016,loser
COP,2.107038461538439,0.019230769230773437,False,725.848199999999,winner
BKNG,0.5251396648044662,0.6145251396647992,False,-288.36999999999955,loser
COP,0.014957264957275805,0.48717948717948656,False,-173.0023199999967,loser
MS,0.034653465346531104,0.837623762376237,False,-202.36205000000172,loser
BAC,1.3108108108108183,0.5675675675675738,False,6.595710000002153,winner
GILD,0.4345238095238186,1.2499999999999916,False,-211.7771000000008,loser
AMD,0.3976576576576618,1.0630630630630638,False,-341.54233499999776,loser
INTC,0.34146341463413893,0.902439024390246,False,-259.42675500000064,loser
VZ,0.6999999999999929,1.0333333333333263,False,-165.16953000000208,loser
PSX,0.10435483870968064,0.715860215053759,False,-243.35901624999968,loser
GE,2.1523809523809496,0.09523809523810361,False,471.83811,winner
USB,1.1071428571428608,0.026785714285715193,False,-10.146749999998704,loser
XLRE,0.40384615384613937,0.7884615384615409,False,-180.59220000000164,loser
XLI,1.012345679012352,0.34567901234567944,False,-16.63676999999905,loser
VZ,0.30030303030303174,0.8815151515151579,False,-157.82832055000029,loser
XLP,0.9680851063829774,0.3297872340425564,False,-41.06736500000085,loser
AMD,0.1630434782608677,1.978260869565214,False,-459.8112000000008,loser
CRM,0.9610894941634263,0.24124513618677285,False,-78.87261000000012,loser
ABBV,0.005235602094250966,0.8115183246073223,False,-181.06863999999945,loser
MRK,0.005319148936165308,0.9946808510638195,False,-179.31777500000092,loser
CSCO,2.2530120481927813,0.18072289156626373,False,671.6785950000016,winner
JNJ,1.179245283018897,0.4245283018867922,False,-49.90019999999821,loser
PANW,1.4999999999999938,0.8157894736842098,False,382.5202399999976,winner
